6487,59049,65536
6561,22000,28561
6561,24064,30625
6561,29791,36352
6561,78608,85169
6591,83521,90112
6728,19683,26411
6760,110889,117649
6859,39366,46225
6859,63125,69984
6877,8748,15625
6912,48013,54925
7000,59049,66049
7168,46875,54043
7168,78125,85293
7569,57967,65536
7857,32768,40625
8019,8788,16807
8192,8575,16767
8192,19683,27875
8192,75843,84035
8192,85849,94041
8303,28561,36864
8379,24389,32768
9261,68864,78125
10000,49049,59049
10000,107649,117649
10108,19683,29791
10609,59375,69984
10611,54925,65536
10985,41503,52488
11449,32768,44217
11552,34375,45927
12500,105149,117649
13122,16807,29929
13312,59049,72361
13568,16807,30375
13778,15625,29403
13924,45125,59049
14256,63869,78125
14297,16807,31104
14641,26912,41553
14641,46875,61516
14641,73167,87808
15488,43561,59049
15625,17303,32928
15625,20096,35721
15625,43424,59049
15625,48384,64009
15625,58806,74431
16384,29241,45625
16384,38291,54675
16384,71825,88209
16807,78125,94932
16807,81608,98415
19683,31250,50933
19683,36125,55808
19683,40817,60500
19683,68125,87808
20449,97200,117649
20736,24389,45125
22201,59049,81250
22528,28125,50653
25921,57600,83521
28561,89088,117649
29282,48843,78125
29440,88209,117649
29791,48334,78125
30625,82944,113569
31104,44521,75625
31250,54043,85293
32768,58357,91125
34128,83521,117649
36864,41261,78125
38759,39366,78125
42875,73728,116603
58600,59049,117649
